start training!
epoch: 120 =>  train emotion accuracy: 0.9493, train depression accuracy: 0.0060 | test emotion acc: 0.8597, test depression mae: 7.7216, test depression rmse : 9.7546
epoch: 121 => train emotion accuracy: 0.9493, train depression accuracy: 0.0060
epoch: 122 => train emotion accuracy: 0.9514, train depression accuracy: 0.0054
epoch: 123 => train emotion accuracy: 0.9526, train depression accuracy: 0.0049
epoch: 124 => train emotion accuracy: 0.9526, train depression accuracy: 0.0066
epoch: 125 => train emotion accuracy: 0.9520, train depression accuracy: 0.0059
epoch: 126 => train emotion accuracy: 0.9522, train depression accuracy: 0.0057
epoch: 127 => train emotion accuracy: 0.9521, train depression accuracy: 0.0065
epoch: 128 => train emotion accuracy: 0.9527, train depression accuracy: 0.0047
epoch: 129 => train emotion accuracy: 0.9534, train depression accuracy: 0.0051
epoch: 130 =>  train emotion accuracy: 0.9538, train depression accuracy: 0.0058 | test emotion acc: 0.8636, test depression mae: 7.6340, test depression rmse : 9.4368
epoch: 131 => train emotion accuracy: 0.9538, train depression accuracy: 0.0073
epoch: 132 => train emotion accuracy: 0.9539, train depression accuracy: 0.0066
epoch: 133 => train emotion accuracy: 0.9531, train depression accuracy: 0.0069
epoch: 134 => train emotion accuracy: 0.9554, train depression accuracy: 0.0056
epoch: 135 => train emotion accuracy: 0.9531, train depression accuracy: 0.0057
epoch: 136 => train emotion accuracy: 0.9541, train depression accuracy: 0.0062
epoch: 137 => train emotion accuracy: 0.9553, train depression accuracy: 0.0053
epoch: 138 => train emotion accuracy: 0.9550, train depression accuracy: 0.0055
epoch: 139 => train emotion accuracy: 0.9565, train depression accuracy: 0.0051
epoch: 140 =>  train emotion accuracy: 0.9559, train depression accuracy: 0.0055 | test emotion acc: 0.8604, test depression mae: 7.6905, test depression rmse : 9.4854
epoch: 141 => train emotion accuracy: 0.9541, train depression accuracy: 0.0049
epoch: 142 => train emotion accuracy: 0.9561, train depression accuracy: 0.0053
epoch: 143 => train emotion accuracy: 0.9583, train depression accuracy: 0.0054
epoch: 144 => train emotion accuracy: 0.9564, train depression accuracy: 0.0053
epoch: 145 => train emotion accuracy: 0.9579, train depression accuracy: 0.0063
epoch: 146 => train emotion accuracy: 0.9571, train depression accuracy: 0.0083
epoch: 147 => train emotion accuracy: 0.9572, train depression accuracy: 0.0074
epoch: 148 => train emotion accuracy: 0.9560, train depression accuracy: 0.0055
epoch: 149 => train emotion accuracy: 0.9575, train depression accuracy: 0.0061
epoch: 150 =>  train emotion accuracy: 0.9562, train depression accuracy: 0.0059 | test emotion acc: 0.8603, test depression mae: 7.9850, test depression rmse : 9.6507
epoch: 151 => train emotion accuracy: 0.9583, train depression accuracy: 0.0061
epoch: 152 => train emotion accuracy: 0.9574, train depression accuracy: 0.0059
epoch: 153 => train emotion accuracy: 0.9582, train depression accuracy: 0.0056
epoch: 154 => train emotion accuracy: 0.9588, train depression accuracy: 0.0053
epoch: 155 => train emotion accuracy: 0.9567, train depression accuracy: 0.0067
epoch: 156 => train emotion accuracy: 0.9584, train depression accuracy: 0.0047
epoch: 157 => train emotion accuracy: 0.9598, train depression accuracy: 0.0056
epoch: 158 => train emotion accuracy: 0.9609, train depression accuracy: 0.0062
epoch: 159 => train emotion accuracy: 0.9591, train depression accuracy: 0.0052
epoch: 160 =>  train emotion accuracy: 0.9604, train depression accuracy: 0.0051 | test emotion acc: 0.8594, test depression mae: 7.2491, test depression rmse : 9.0453
epoch: 161 => train emotion accuracy: 0.9589, train depression accuracy: 0.0058
epoch: 162 => train emotion accuracy: 0.9614, train depression accuracy: 0.0051
epoch: 163 => train emotion accuracy: 0.9603, train depression accuracy: 0.0046
epoch: 164 => train emotion accuracy: 0.9589, train depression accuracy: 0.0057
epoch: 165 => train emotion accuracy: 0.9581, train depression accuracy: 0.0053
epoch: 166 => train emotion accuracy: 0.9608, train depression accuracy: 0.0061
epoch: 167 => train emotion accuracy: 0.9587, train depression accuracy: 0.0068
epoch: 168 => train emotion accuracy: 0.9608, train depression accuracy: 0.0057
epoch: 169 => train emotion accuracy: 0.9617, train depression accuracy: 0.0049
epoch: 170 =>  train emotion accuracy: 0.9611, train depression accuracy: 0.0055 | test emotion acc: 0.8622, test depression mae: 7.8909, test depression rmse : 9.6163
epoch: 171 => train emotion accuracy: 0.9618, train depression accuracy: 0.0065
epoch: 172 => train emotion accuracy: 0.9617, train depression accuracy: 0.0058
epoch: 173 => train emotion accuracy: 0.9622, train depression accuracy: 0.0063
epoch: 174 => train emotion accuracy: 0.9620, train depression accuracy: 0.0052
epoch: 175 => train emotion accuracy: 0.9616, train depression accuracy: 0.0055
epoch: 176 => train emotion accuracy: 0.9609, train depression accuracy: 0.0056
epoch: 177 => train emotion accuracy: 0.9629, train depression accuracy: 0.0057
epoch: 178 => train emotion accuracy: 0.9626, train depression accuracy: 0.0044
epoch: 179 => train emotion accuracy: 0.9617, train depression accuracy: 0.0036
epoch: 180 =>  train emotion accuracy: 0.9618, train depression accuracy: 0.0044 | test emotion acc: 0.8607, test depression mae: 7.8411, test depression rmse : 9.3731
epoch: 181 => train emotion accuracy: 0.9629, train depression accuracy: 0.0061
epoch: 182 => train emotion accuracy: 0.9637, train depression accuracy: 0.0054
epoch: 183 => train emotion accuracy: 0.9634, train depression accuracy: 0.0043
epoch: 184 => train emotion accuracy: 0.9642, train depression accuracy: 0.0048
epoch: 185 => train emotion accuracy: 0.9658, train depression accuracy: 0.0047
epoch: 186 => train emotion accuracy: 0.9631, train depression accuracy: 0.0046
epoch: 187 => train emotion accuracy: 0.9627, train depression accuracy: 0.0062
epoch: 188 => train emotion accuracy: 0.9646, train depression accuracy: 0.0055
epoch: 189 => train emotion accuracy: 0.9660, train depression accuracy: 0.0036
epoch: 190 =>  train emotion accuracy: 0.9648, train depression accuracy: 0.0042 | test emotion acc: 0.8628, test depression mae: 7.0289, test depression rmse : 8.7959
epoch: 191 => train emotion accuracy: 0.9643, train depression accuracy: 0.0050
epoch: 192 => train emotion accuracy: 0.9646, train depression accuracy: 0.0040
epoch: 193 => train emotion accuracy: 0.9625, train depression accuracy: 0.0048
epoch: 194 => train emotion accuracy: 0.9635, train depression accuracy: 0.0047
epoch: 195 => train emotion accuracy: 0.9636, train depression accuracy: 0.0056
epoch: 196 => train emotion accuracy: 0.9656, train depression accuracy: 0.0036
epoch: 197 => train emotion accuracy: 0.9632, train depression accuracy: 0.0046
epoch: 198 => train emotion accuracy: 0.9666, train depression accuracy: 0.0041
epoch: 199 => train emotion accuracy: 0.9658, train depression accuracy: 0.0038
epoch: 200 =>  train emotion accuracy: 0.9660, train depression accuracy: 0.0041 | test emotion acc: 0.8606, test depression mae: 7.9478, test depression rmse : 9.3214
epoch: 201 => train emotion accuracy: 0.9646, train depression accuracy: 0.0066
epoch: 202 => train emotion accuracy: 0.9643, train depression accuracy: 0.0036
epoch: 203 => train emotion accuracy: 0.9646, train depression accuracy: 0.0044
epoch: 204 => train emotion accuracy: 0.9658, train depression accuracy: 0.0034
epoch: 205 => train emotion accuracy: 0.9640, train depression accuracy: 0.0042
epoch: 206 => train emotion accuracy: 0.9659, train depression accuracy: 0.0047
epoch: 207 => train emotion accuracy: 0.9660, train depression accuracy: 0.0050
epoch: 208 => train emotion accuracy: 0.9662, train depression accuracy: 0.0055
epoch: 209 => train emotion accuracy: 0.9660, train depression accuracy: 0.0063
